player_name,team,position,caps,club,group
Júnior Alonso,Paraguay,DEF,71,,Group D
Ramón Sosa,Paraguay,MID,29,,Group D
Diego Gómez,Paraguay,MID,24,,Group D
Antonio Sanabria,Paraguay,FWD,48,,Group D
Miguel Almirón,Paraguay,MID,76,,Group D
Maurício,Paraguay,MID,3,,Group D
Orlando Gill,Paraguay,GK,6,,Group D
José Canale,Paraguay,DEF,2,,Group D
Andrés Cubas,Paraguay,MID,33,,Group D
Gustavo Gómez,Paraguay,DEF,89,,Group D
Damián Bobadilla,Paraguay,MID,19,,Group D
Kaku,Paraguay,FWD,33,,Group D
Álex Arce,Paraguay,FWD,15,,Group D
Julio Enciso,Paraguay,FWD,32,,Group D
Braian Ojeda,Paraguay,MID,17,,Group D
Gabriel Ávalos,Paraguay,FWD,23,,Group D
Gastón Olveira,Paraguay,GK,1,,Group D
Matías Galarza,Paraguay,MID,15,,Group D
Gustavo Caballero,Paraguay,MID,2,,Group D
Isidro Pitta,Paraguay,FWD,5,,Group D
Alexandro Maidana,Paraguay,DEF,2,,Group D
Mert Günok,Turkey,GK,37,,Group D
Zeki Çelik,Turkey,DEF,61,,Group D
Merih Demiral,Turkey,DEF,62,,Group D
Çağlar Söyüncü,Turkey,DEF,60,,Group D
Salih Özcan,Turkey,MID,30,,Group D
Orkun Kökçü,Turkey,MID,50,,Group D
Kerem Aktürkoğlu,Turkey,FWD,52,,Group D
Arda Güler,Turkey,FWD,29,,Group D
Deniz Gül,Turkey,FWD,8,,Group D
Hakan Çalhanoğlu,Turkey,MID,105,,Group D
Kenan Yıldız,Turkey,FWD,28,,Group D
Altay Bayındır,Turkey,GK,12,,Group D
Eren Elmalı,Turkey,DEF,23,,Group D
Abdülkerim Bardakcı,Turkey,DEF,27,,Group D
Ozan Kabak,Turkey,DEF,30,,Group D
İsmail Yüksek,Turkey,MID,32,,Group D
İrfan Can Kahveci,Turkey,FWD,47,,Group D
Mert Müldür,Turkey,DEF,45,,Group D
Yunus Akgün,Turkey,FWD,19,,Group D
Ferdi Kadıoğlu,Turkey,DEF,30,,Group D
Barış Alper Yılmaz,Turkey,FWD,35,,Group D
Kaan Ayhan,Turkey,MID,73,,Group D
Uğurcan Çakır,Turkey,GK,39,,Group D
Oğuz Aydın,Turkey,FWD,11,,Group D
Samet Akaydin,Turkey,DEF,19,,Group D
Can Uzun,Turkey,FWD,6,,Group D
Matt Turner,United States,GK,54,,Group D
Sergiño Dest,United States,DEF,39,,Group D
Chris Richards,United States,DEF,36,,Group D
Tyler Adams,United States,MID,54,,Group D
Antonee Robinson,United States,DEF,54,,Group D
Auston Trusty,United States,DEF,8,,Group D
Giovanni Reyna,United States,MID,38,,Group D
Weston McKennie,United States,MID,66,,Group D
Ricardo Pepi,United States,FWD,37,,Group D
Christian Pulisic,United States,FWD,86,,Group D
Brenden Aaronson,United States,FWD,58,,Group D
Miles Robinson,United States,DEF,40,,Group D
Tim Ream,United States,DEF,82,,Group D
Sebastian Berhalter,United States,MID,13,,Group D
Cristian Roldan,United States,MID,47,,Group D
Alex Freeman,United States,DEF,17,,Group D
Malik Tillman,United States,MID,30,,Group D
Max Arfsten,United States,DEF,20,,Group D
Haji Wright,United States,FWD,20,,Group D
Folarin Balogun,United States,FWD,27,,Group D
Timothy Weah,United States,FWD,51,,Group D
Mark McKenzie,United States,DEF,29,,Group D
Joe Scally,United States,DEF,26,,Group D
